,ID,compositionality_type,question,answers,topic_ids,answer_ids
1141,WebQTest-1732_c35afd2ef6b975f3637470c33fde19ac,comparative,"Where did Theodor Schwann, attend university, and the university has a number of postgraduates greater than 3100?","[{'aliases': ['Humboldt University of Berlin, main campus', 'HU-Berlin', 'Humboldt-Universität zu Berlin'], 'answer': 'Humboldt University of Berlin', 'answer_id': 'm.01stzp'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/01stzp']
2745,WebQTrn-2730_89c51d02194d74eda5e283c9766baebb,comparative,What film did Lucy Hale play in that was released after 2008-11-18?,"[{'aliases': ['A Cinderella Story: Once Upon A Song', 'A Cinderella Story 3'], 'answer': 'A Cinderella Story: Once Upon a Song', 'answer_id': 'm.0gky0pl'}, {'aliases': [], 'answer': 'Scream 4', 'answer_id': 'm.0bq4q22'}, {'aliases': ['TinkerBell and the Secret of the Wings', 'Tinker bell 4', 'Tinker Bell and the Mysterious Winter Woods', 'Secret of the Wings', 'Tinker Bell: A Winter Story'], 'answer': 'Tinker Bell: Secret of the Wings', 'answer_id': 'm.0crfwmx'}, {'aliases': [], 'answer': 'Killer in the Family', 'answer_id': 'm.0b6q30j'}, {'aliases': ['Krzyk 4', 'Klyksm4s', 'Sikoly 4.', 'Ciglik 4', 'Kivili 4', 'Skrik 4', 'Vrisak 4', 'Scream 4: Next Generation', ""Tze'aka 4"", 'Vrískot 4', 'Öskrið 4', 'Gritos 4', 'Scre4m: Grita de Nuevo', 'Крик 4', 'Klyksmas 4', 'Pânico 4', 'Scre4m'], 'answer': 'Sorority Wars', 'answer_id': 'm.0bwhdbl'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/0gky0pl', '/m/0bq4q22', '/m/0crfwmx', '/m/0b6q30j', '/m/0bwhdbl']"
1349,WebQTrn-1784_dd9813281934463d55e5452175212740,comparative,What countries have a standing army of less than 39200 and include German as one of their languages?,"[{'aliases': ['Bohemia'], 'answer': 'Czech Republic', 'answer_id': 'm.01mjq'}, {'aliases': [], 'answer': 'Denmark', 'answer_id': 'm.01ppq'}, {'aliases': ['Dänemark', 'Kingdom of Denmark', 'Kongeriget Danmark', '丹麦'], 'answer': 'Luxembourg', 'answer_id': 'm.0k6nt'}, {'aliases': ['Grand Duchy of Luxembourg'], 'answer': 'Switzerland', 'answer_id': 'm.04g61'}, {'aliases': ['La Suisse', 'Helvetia', 'Svizzera', 'Svizra', 'Schweiz', 'Swiss Confederation'], 'answer': 'Austria', 'answer_id': 'm.06mzp'}, {'aliases': ['Ostarrichi', 'Republic of Austria', 'Österreich', 'Oesterreich', 'Autriche'], 'answer': 'Belgium', 'answer_id': 'm.0h7x'}, {'aliases': ['Belgique', 'België', 'Kingdom of Belgium'], 'answer': 'Cyprus', 'answer_id': 'm.0154j'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0k20s', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/01mjq', '/m/01ppq', '/m/0k6nt', '/m/04g61', '/m/06mzp', '/m/0h7x', '/m/0154j']"
2352,WebQTest-723_fb722b25540c696d63f71398ea71d752,comparative,what attraction in sydney australia has a venue capacity greater than 5738?,"[{'aliases': ['Bondi Beach, Sydney', 'Bondi', 'Bondi Beach, New South Wales'], 'answer': 'Bondi Beach', 'answer_id': 'm.020772'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/020772']
902,WebQTrn-3252_19ad19ca437467ed60077500e12e5220,comparative,What nationss through which the Niger River flows have country ISO numerics higher than 204?,"[{'aliases': ['Republic of Niger'], 'answer': 'Guinea', 'answer_id': 'm.05cc1'}, {'aliases': ['Federal Republic of Nigeria'], 'answer': 'Niger', 'answer_id': 'm.05cgv'}, {'aliases': [], 'answer': 'Nigeria', 'answer_id': 'm.03676'}, {'aliases': [], 'answer': 'Mali', 'answer_id': 'm.04v09'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/05cc1', '/m/05cgv', '/m/03676', '/m/04v09']"
1779,WebQTrn-1809_1725d0d17922d6ce0f2ed136d1b156bb,comparative,What Battle of Shiloh location has a population larger than 5703719?,"[{'aliases': ['TN', 'Tenn', 'Volunteer State'], 'answer': 'Tennessee', 'answer_id': 'm.07h34'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/07h34']
791,WebQTrn-538_d14b0fb81ffe51a1a9d49edc2e26c5bc,comparative,"Which country does Russia border, and has an ISO numeric of is less than 112 for the country?","[{'aliases': ['Republic of Azerbaijan', 'Azərbaycan Respublikası'], 'answer': 'Azerbaijan', 'answer_id': 'm.0jhd'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0jhd']
2679,WebQTrn-659_465277909580bd5bd79e9a6bca3d7ed6,comparative,In which city with a GNIS feature ID greater than 847388 does Joey King live?,"[{'aliases': ['Los Angeles, California, USA', 'LA', 'Los Angeles, California', 'Los Angeles, USA', 'City of Angels', 'L.A.', 'Los Angeles County / Los Angeles city', 'Los Angeles, CA'], 'answer': 'Los Angeles', 'answer_id': 'm.030qb3t'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/030qb3t']
796,WebQTrn-2238_995227fc5dda25d790a913ba7ce06ae5,comparative,What Florida Football Team founded prior to 1967 is associated with Reggie Bush circa 2011?,"[{'aliases': ['The Phins', 'The Fish', 'The Fins'], 'answer': 'Miami Dolphins', 'answer_id': 'm.04vn5'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/04vn5']
3234,WebQTrn-1784_2f6b00f2a437e8fee90288bb83e6d2b7,comparative,What German speaking countries that have population under 9856303?,"[{'aliases': ['Bohemia'], 'answer': 'Czech Republic', 'answer_id': 'm.01mjq'}, {'aliases': [], 'answer': 'Denmark', 'answer_id': 'm.01ppq'}, {'aliases': ['Dänemark', 'Kingdom of Denmark', 'Kongeriget Danmark', '丹麦'], 'answer': 'Austria', 'answer_id': 'm.0k6nt'}, {'aliases': ['State of the Vatican City', 'Vatican City, Rome', 'Holy See'], 'answer': 'Luxembourg', 'answer_id': 'm.07ytt'}, {'aliases': ['Principality of Liechtenstein', 'Fürstentum Liechtenstein'], 'answer': 'Switzerland', 'answer_id': 'm.04j53'}, {'aliases': ['Grand Duchy of Luxembourg'], 'answer': 'Liechtenstein', 'answer_id': 'm.04g61'}, {'aliases': ['La Suisse', 'Helvetia', 'Svizzera', 'Svizra', 'Schweiz', 'Swiss Confederation'], 'answer': 'Belgium', 'answer_id': 'm.06mzp'}, {'aliases': ['Ostarrichi', 'Österreich', 'Oesterreich', 'Vatican', 'Republic of Austria', 'Autriche'], 'answer': 'Vatican City', 'answer_id': 'm.0h7x'}, {'aliases': ['Belgique', 'België', 'Kingdom of Belgium'], 'answer': 'Cyprus', 'answer_id': 'm.0154j'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0k20s', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/01mjq', '/m/01ppq', '/m/0k6nt', '/m/07ytt', '/m/04j53', '/m/04g61', '/m/06mzp', '/m/0h7x', '/m/0154j']"
1382,WebQTest-823_1ac8ccb9cd6f48d856dfcad7600bf7f6,comparative,What nation has an army or more than 713480 people and borders the country of Bolivia?,"[{'aliases': ['Brazilian ', 'República Federativa do Brasil', 'Brasil', 'Federative Republic of Brazil'], 'answer': 'Brazil', 'answer_id': 'm.015fr'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/015fr']
1812,WebQTest-1382_2ee819ba474253fdefba8cf094f02553,comparative,Which of the countries bordering Argentina have a country calling code higher than 55?,"[{'aliases': ['Republic of Chile'], 'answer': 'Paraguay', 'answer_id': 'm.01p1v'}, {'aliases': ['The Plurinational State of Bolivia'], 'answer': 'Bolivia', 'answer_id': 'm.0165v'}, {'aliases': ['Corazon de America', 'Heart of America', 'Republic of Paraguay', 'Corazón de América'], 'answer': 'Chile', 'answer_id': 'm.05v10'}, {'aliases': ['Eastern Republic of the Uruguay', 'Republic East of the Uruguay', 'Eastern Republic of Uruguay', 'Oriental Republic of Uruguay'], 'answer': 'Uruguay', 'answer_id': 'm.07twz'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/01p1v', '/m/0165v', '/m/05v10', '/m/07twz']"
175,WebQTrn-3358_fafda8854ab0962a4d7889c76ca92f1b,comparative,"Who held his governmental position from before April 4, 1861 and influenced Whitman's poetry?","[{'aliases': [""Long 'Un"", 'The Flatboat Man', 'The Jester', 'The Sage of Springfield', 'The Buffoon', 'Man of the People', 'Father Abraham', 'Ancient Abe', 'The Railsplitter', 'The Sectional President', 'Abe Lincoln', 'Uncle Abe', 'Caesar', 'The Tyrany', 'The Tycoon', 'The Illinois Baboon', 'Honest Abe', 'The Martyr President', 'The Grand Wrestler', 'The Great Emancipator'], 'answer': 'Abraham Lincoln', 'answer_id': 'm.0gzh'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93']",['/m/0gzh']
1084,WebQTrn-2601_d761be1d5f89e0086a9003784d6b00e3,comparative,What sports team founded before 1961 did Warren Moon play for?,"[{'aliases': [], 'answer': 'Kansas City Chiefs', 'answer_id': 'm.0487_'}]","['/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0487_']
