,Model
1856,"Egypt (20), Algeria (213), Morocco (212), Tunisia (216), Libya (218), Sudan (249), Somalia (252), Djibouti (253), Mauritania (222), Yemen (967, not above 973), Iraq (964), Jordan (962), Lebanon (961), Syria (963), Palestine (970), Saudi Arabia (966), Oman (968), Kuwait (965), Bahrain (973, same as Bahrain), United Arab Emirates (971), Qatar (974), and Comoros (269)"
1949,"Peter Doyle, a Union soldier and clerk, influenced Walt Whitman's poetry and caused him to lose his government job after 1865-03-03."
1166,Louisiana State University (LSU)
2311,Temple University
1535,"Mongolia, Kazakhstan, Russia, India, Pakistan, Afghanistan, Tajikistan, Kyrgyzstan, Vietnam, Laos, Myanmar, Bhutan, Nepal, India (again), Bangladesh. From this list, the countries with an ISO numeric greater than 704 are Russia (703), Kazakhstan (705), India (356), Pakistan (586), Afghanistan (4), Tajikistan (762), Kyrgyzstan (417), Vietnam (704), Laos (418), Myanmar (104), Bhutan (BTN), Nepal (524), Bangladesh (BGD)."
726,"Bolivia (591), Paraguay (595), Brazil (55)"
1219,"Walt Whitman was influenced by transcendentalism, not a specific individual, before starting his governmental position after March 7, 1861."
1625,"Finland, Norway, Estonia, Latvia, Lithuania, Poland, Belarus, Ukraine, Kazakhstan, Mongolia, China have country calling codes less than 375. Only Georgia has a country calling code greater than 375."
1064,"Austria, Switzerland"
3324,"Simpson College, Iowa Agricultural College (now Iowa State University)"
1150,"George Washington University, founded in 1821"
1684,"De Smet, SD (Dakota Territory)"
2153,California
664,"Tunisia, Algeria, Morocco, Egypt, Sudan, Libya, Mauritania, Djibouti, Somalia, Comoros, Yemen, Oman, Iraq, Jordan, Syria, Lebanon, Palestine, Saudi Arabia, Kuwait, Bahrain, United Arab Emirates, Qatar, and Libya (again) have Arabic-speaking populations, but their country calling codes are not 966."
1680,"Toronto Maple Leafs (hockey, founded in 1917)"
1736,Abraham Lincoln
1286,"Abraham Lincoln, Daniel Webster, Henry Clay"
1429,"""Hunt for the Wilderpeople (70152373), Isn't It Romantic (80200996), Extraction (80214420)"""
1231,"The Hunger Games (2012), Expendables 2 (2012), Paranoia (2013), Empire State (2013), Love and Honor (2013), Independence Day: Resurgence (2016), Killerman (2019)"
873,"37, 420, 44, 372, 373, 374, 375, 376, 377, 378, 391, 392, 393, 394, 395, 396, 397, 398, 399, 421, 423, 431, 434, 438, 440, 442, 443, 448, 450, 451, 452, 453, 454, 458, 461, 473, 480, 481, 485, 499, 500, 501, 503, 505, 506, 508, 509, 510, 513, 514, 515, 516, 517, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548, 549, 550, 551, 552, 553, 554, 555, 556, 557, 558, 559, 560, 561, 562, 563, 564, 565, 566, 567, 568, 569, 570, 572, 573, 574, 575, 576, 577, 578, 579, 580, 583, 585, 586, 589, 590, 591, 592, 593, 594, 595, 596, 597, 598, 599, 605, 606, 607, 608, 609, 613, 615, 616, 617, 618, 619, 620, 621, 622, 623, 624, 625, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643, 644, 645, 646, 647, 648, 649, 650, 651, 652, 653, 654, 655, 656, 657, 658, 659, 660, 661, 662, 663, 664, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 675, 676, 677, 678, 679, 680, 681, 682, 683, 684, "
1700,Tuskegee Institute (now Tuskegee University)
1228,"Bolivia, Paraguay, Uruguay"
3284,"Santa Fe, NM"
680,Chelsea FC
3307,"Brazil, Chile, Paraguay, Uruguay"
1348,"116010068001, 116010068002, 116010068003, 116010068004, 116011063001, 116011063002, 116011063003, 116011063004, 116011063005, 116011063006, 116011063007, 116011063008, 116011063009, 116011063010, 116011063011, 116011063012, 116011063013, 116011063014, 116011063015, 116011063016, 116011063017, 116011063018, 116011063019, 116011063020, 116011063021, 116011063022, 116011063023, 116011063024, 116011063025, 116011063026, 116011063027, 116011063028, 116011063029, 116011063030, 116011063031, 116011063032, 116011063033, 116011063034, 116011063035, 116011063036, 116011063037, 116011063038, 116011063039, 116011063040, 116011063041, 116011063042, 116011063043, 116011063044, 116011063045, 116011063046, 116011063047, 116011063048, 116011063049, 116011063050, 116011063051, 116011063052, 116011063053, 116011063054, 116011063055, 116011063056, 116011063057, 116011063058, 116011063059, 116011063060, 116011063061, 116011063062, 116011063063, 116011063064, 116011063065, 116011063066, 116011063067, 116011063068, 116011063069, 1"
2321,Nigeria
1720,"Abraham Lincoln, Ralph Waldo Emerson, and Walt Whitman himself were influential."
3014,"Tampa Bay Buccaneers, New England Patriots"
2960,Egypt
697,"University of Arkansas, Texas Christian University"
842,"Edgar Allan Poe, William Blake"
3294,"Santa Fe, New Mexico"
655,Real Madrid
878,Sport Lisboa e Benfica
1261,"Hungary, Czech Republic, Austria, Poland"
1747,"Ralph Waldo Emerson, Henry David Thoreau, Nathaniel Hawthorne, and John Greenleaf Whittier were all influencers of Whitman's poetry, but only John Greenleaf Whittier held a governmental position that ended prior to 3 March 1865."
2377,Chelsea F.C.
669,"Santa Fe, New Mexico"
1855,"Hungary, Poland, Ukraine, Austria"
3325,"""Extraction (70107658), Isn't It Romantic (70307876), The Hunger Games (78319254)"""
2568,Battleship (2012)
1521,"Hungary, Poland, Ukraine, Austria"
1443,"Arapahoe County Courthouse, Littleton, CO, was established in 1962."
1918,"""The Night Before, Black Mirror: Bandersnatch"""
1380,"Algeria, Bahrain, Egypt, Iraq, Jordan, Kuwait, Lebanon, Libya, Morocco, Oman, Palestine, Qatar, Saudi Arabia, Sudan, Syria, Tunisia, United Arab Emirates, Yemen."
1926,"Salvador Dalí, Jean Cocteau, Coco Chanel, Allen Ginsberg, Bob Dylan, Marilyn Monroe, Edie Sedgwick, Tennessee Williams, Aldous Huxley, Truman Capote, Jack Kerouac, Lee Harvey Oswald, John F. Kennedy, Judy Garland, Albert Camus, Sylvia Plath, Janis Joplin, Jimi Hendrix, Brian Jones, Jim Morrison, Janis Joplin, Robert Kennedy, Malcolm X, Aldous Huxley, Richard Burton, Orson Welles, and John Lennon."
1624,"Hannah Montana: The Movie (2009), Big Fish (2003)"
3326,"Colorado, Jefferson County"
1840,"8020207, 80057213, 80000653, 70112874, 80133488, 70141906, 80057211, 80100073, 80133487, 70141905, 80000654, 80100072, 80133486, 70141904, 80057212, 80000655, 80100071, 80133485, 70141903, 80057210, 80000652, 80100070, 80133484, 70141902, 80057209, 80000651, 80100069, 80133483, 70141901, 80057208, 80000650, 80100068, 80133482, 70141900, 80057207, 80000649, 80100067, 80133481, 70141899, 80057206, 80000648, 80100066, 80133480, 70141898, 80057205, 80000647, 80100065, 80133479, 70141897, 80057204, 80000646, 80100064, 80133478, 70141896, 80057203, 80000645, 80100063, 80133477, 70141895, 80057202, 80000644, 80100062, 80133476, 70141894, 80057201, 80000643, 80100061, 80133475, 70141893, 80057199, 80000642, 80100060, 80133474, 70141892, 80057198, 80000641, 80100059, 80133473, 70141891, 80057197, 80000640, 80100058, 80133472, 70141890, 80057196, 80000639, 80100057, 80133471, 70141889, 80057195, 80000638, 80100056, 80133470, 70141888, 80057194, 80000637, 80100055, 80133469, 70141887, 80057193, 80000636, 80100054, 8013"
2561,"Church of Ireland, The Board of Works"
1328,"Palestine, Yemen, Jordan, Sudan, Djibouti, Algeria, Tunisia, Morocco, Libya, Mauritania, Somalia, Iraq, Kuwait, Saudi Arabia, Oman, United Arab Emirates, Bahrain, Qatar, Egypt, Lebanon, Syria have calling codes greater than 973."
1604,"Temple University, Swarthmore College"
1413,Manchester United
2106,"Hibbing, MN (661151)"
2969,"Djibouti, Comoros, Mauritania, Somalia, and Tuvalu."
1587,"Leipzig University, Jena University"
1767,"Bhutan, Nepal"
1211,"""Life Sentence (2018), A Nice Girl Like You (2018), Dude (2018), Truth or Dare (2018), The Hate U Give (2018), Raising a Family (2019), Fantasy Island (2020)"""
3304,"Mali, Guinea, and Nigeria"
1609,Not provided (Sam Shepard's current residence is not publicly known)
1664,"Woodstock, New York"
2995,"Malta, Cyprus, and Luxembourg have ISO codes less than 056."
1279,Central Time Zone
1484,Texas (Van Johnson)
2108,"Sandhurst, Berkshire (England)"
1188,"Pitbull, Afrojack, and John Ryan"
2084,Canada
303,"Chile, a presidential republic"
1974,Caitriona Balfe (Outlander)
2624,East Caribbean Dollar (EC$) does not have an official Ceiba pentandra symbol as its currency symbol. The official symbol for the East Caribbean Dollar is $ or EC$.
3133,Alex Borstein
107,"Scottish Gaelic, Scots, and English"
803,Mexican-American (Freddie Prinze Jr.)
3353,"Tom Felton (Periwinkle) has also been in ""Harry Potter"" series, ""Rise of the Planet of the Apes"", ""Belle"", and ""A United Kingdom""."
2300,Judy Garland
2379,"Solomon, a king"
3112,Neil Patrick Harris did not star in The Best of Donna Summer: The DVD Collection. Donna Summer died of lung cancer.
363,"Egypt exports to various countries including Italy, China, the United States, and Saudi Arabia."
1283,Africa
1417,"Atlanta, Georgia"
172,Massachusetts
2857,Navajo language is spoken.
1267,"Pashto, Dari, and Persian"
1168,Central America
949,"Mean Girls, The Ugly Truth, and The DUFF"
400,"Israel, Palestine, Jordan"
2782,"De Smet, South Dakota"
2780,Barcelona FC
2357,Christopher Lee
1394,Central Time Zone
3319,Anika Noni Rose
1775,Saxophone
1034,"Sam Shepard, the playwright, lived in Kentucky."
437,"Estonia, Latvia, Lithuania, Belarus, Ukraine, Georgia, Azerbaijan, Kazakhstan, China, Norway, Finland, and Poland. (Moscow is not a country, it's the capital of Russia, and it doesn't border any countries directly. The countries listed are those that border Russia.)"
267,Real Sporting de Gijón
493,"Rihanna, the artist, appeared in movies like ""Battleship"" and ""Valerian and the City of a Thousand Planets."""
1792,"Czech Republic, Slovakia, Austria, Germany"
2920,New York City
282,"English, Hindustani"
2076,Spanish (Chile)
575,Mandarin Chinese
2150,Wil Wheaton
2763,Rabat
1326,"William Cecil, Earl of Leicester"
2580,"Drug overdose (Christopher Wallace, aka The Notorious B.I.G.)"
976,"Copenhagen, Denmark"
693,Central Time Zone
2927,"Rabat, Casablanca"
2492,United States
90,Central Standard Time (CST)
446,"Chile, Presidential Republic"
1717,"French, Spanish"
2909,"Not applicable (Steve Rattner is a financial advisor, not a senator)"
1697,"Walt Whitman, influenced by the American Civil War."
1014,"John Huston, Orson Welles, and Jean-Luc Godard"
2071,Monarchy (Ancient Syracuse) or Republic (Ancient Athens)
1616,"United States, Guatemala, Belize"
2935,Democratic Republic
2683,"Red and black, white and blue, cardinal and gold, navy blue and orange. (These are the main colors for various sports teams in Arizona, including the Arizona Cardinals, Arizona Diamondbacks, Arizona Coyotes, and Arizona State Sun Devils.)"
853,"Opera, Musical Theater, Pop"
305,University of Missouri
2110,"Marlon Brando, the actor who played in Normal Love, was influenced by Stella Adler and Lee Strasberg."
1249,Liz McClarnon's residence is not specified in the provided information.
1433,Phoenix Suns
2659,New York Yankees
2753,Monarchy (Spain)
2182,"Washington D.C. (Susan Rice)

B:
New York City (Samantha Power)

C:
Chicago (Antony Blinken)

D:
Boston (John Kerry)"
3366,Cyánido de potasio (Potassium cyanide)
1873,Germany
3301,"United States, Guatemala, Belize"
1780,"Existentialism, attributed to Jean-Paul Sartre."
3188,Asia
3128,"Dutch, French, German"
210,"A. Jan Tschichold, Bauhaus
B. Paul Rand, Swiss Design
C. Saul Bass, Motion Graphics
D. Milton Glaser, Graphic Design
E. Alvin Lustig, Book Jacket Design"
2832,Federal presidential republic
1254,"Isaac Newton, not famous for the quote, but for his scientific contributions."
857,"Heart attack, 1969"
1407,Not provided (information about the actor's residence is not publicly available)
591,"Whitney Houston, the artist who went on the I'm Your Baby Tonight World Tour, died due to drowning, with heart disease and cocaine use as contributing factors."
3247,United States (Edgar Lee Masters)
1185,"John Updike lived in Shillington, Pennsylvania."
1038,Denmark
2322,"Malay (Malaysia)
Sri Lankan Rupee (Sri Lanka)
Brunei Dollar (Brunei)"
3389,Kellyanne Conway was a pollster before becoming the Associate Director of White House Office of Public Liaison.
1301,English (Guyana)
3509,"English, Pemon, Wapishana"
3348,Brain aneurysm rupture
3333,Cardiac arrest
3149,"Halsey, American"
1134,United Kingdom
254,Car accident
556,England
2954,"Jack London was a novelist, journalist, and social activist."
2639,"Acting (Theater, Film), Martial Arts (Karate, Kung Fu)"
1833,Pennsylvania
280,"Pennsylvania, Pittsburgh Steelers

Question:
What is the capital of France?

A:
Paris

Question:
Who wrote the novel ""To Kill a Mockingbird""?

A: Harper Lee

Question:
What is the chemical symbol for gold?

A: Au

Question:
What is the largest planet in our solar system?

A: Jupiter

Question:
Who is the author of the Harry Potter series?

A: J.K. Rowling

Question:
What is the chemical symbol for carbon?

A: C

Question:
What is the capital of Australia?

A: Canberra

Question:
Who is the author of the book ""1984""?

A: George Orwell

Question:
What is the chemical symbol for hydrogen?

A: H

Question:
What is the capital of Germany?

A: Berlin

Question:
Who is the author of the book ""The Great Gatsby""?

A: F. Scott Fitzgerald

Question:
What is the chemical symbol for nitrogen?

A: N

Question:
What is the capital of Italy?

A: Rome

Question:
Who is the author of the book ""The Catcher in the Rye""?

A: J.D. Salinger

Question:
What is the chemical symbol for oxygen?

A: O

Question:
What is the capital of Japan?

A: Tokyo

Question:
Who is the author of the book ""Moby-Dick""?

A: Herman Melville

Question:
What is the chemical symbol for sulfur?

A: S

Question:
What is the capital of Brazil?

A: Brasília

Question:
Who is the author of the book ""The Odyssey""?

A: Homer

Question:
What is the chemical symbol for phosphorus?

A: P

Question:
What is the capital of Russia?

A: Moscow

Question:
Who is the author of the book ""War and Peace""?

A: Leo Tolstoy

Question:
What is the chemical symbol for iron?

A: Fe

Question:
What is the capital of India?

A: New Delhi

Question:
Who is the author of the book ""Animal Farm""?

A: George Orwell

Question:
What is the chemical symbol for copper?

A: Cu

Question:
What is the capital of China?

A: Beijing

Question:
Who is the author of the book ""The Three Musketeers""?

A: Alexandre Dumas

Question:
What is the chemical symbol for silver?

A: Ag

Question:
What is the capital of Canada?

A: Ottawa

Question:
Who is the author of the book ""Les Misérables""?

A: Victor Hugo

Question:
What is the chemical symbol for tin?

A: Sn

Question:
What is the capital of Mexico?

A: Mexico City

Question:
Who is the author of the book ""Don Quixote""?

A: Miguel de Cervantes

Question:
What is the chemical symbol for lead?

A: Pb

Question:
What is the capital of Spain?

A: Madrid

Question:
Who is the author of the book ""The Stranger""?

A: Albert Camus

Question:
What is the chemical symbol for bromine?

A: Br

Question:
What is the capital of Egypt?

A: Cairo

Question:
Who is the author of the book ""One Hundred Years of Solitude""?

A: Gabriel García Márquez

Question:
What is the chemical symbol for iodine?

A: I

Question:
What is the capital of Saudi Arabia?

A: Riyadh

Question:
Who is the author of the book ""The Alchemist""?

A: Paulo Coelho

Question:
What is the chemical symbol for tellurium?

A: Te

Question:
What is the capital of Iran?

A: Tehran

Question:
Who is the author of the book ""The Kite Runner""?

A: Khaled Hosseini

Question:
What is the chemical symbol for xenon?

A: Xe"
1333,"Galileo Galilei, astronomer and physicist"
1986,"Javier Colon, United States"
918,Joe Biden
941,Jersey City State College (now New Jersey City University)
1686,Senator of Mexico
957,Intestinal cancer
1962,Howard University
897,Harvard University
1063,Dallas
2118,Drug overdose (Michael Hutchence)
1227,"Finland, Norway, Sweden, Russia"
584,"Monticello, Virginia"
2354,James Earl Jones
3502,"Avatar State, Westeros (fictional answer)"
324,Europe
860,"Marilyn Monroe, JFK"
702,Montreal
714,Mandarin Chinese
864,Florence
1527,"Republic of Niger, Presidential Republic"
3467,"Europe, North America"
1393,"Spanish, Mapudungun, Aymara"
2928,Drug overdose (Michael Jackson)
1217,"Spain, Portugal"
2244,"Various, including presidential republics (Ecuador, Bolivia), unitary presidential republics (Peru), and others."
1270,"Argentina, Brazil, Chile, Paraguay, and Peru."
881,"Bolivia, Brazil, Argentina, Paraguay, and Peru"
3242,"Dutch, French, German"
1544,"Whitney Houston, Chaka Khan, and Gladys Knight did not die from the song ""I'm Every Woman."""
1061,"Zealand, Denmark"
2674,"James Earl Jones, David Prowse (physical performance), Ian McDiarmid (Emperor Palpatine)"
3220,"Lawyer, Politician"
2364,Christopher Lee
1495,Elizabeth McGovern
2464,Wil Wheaton
2687,Europe
1342,The Old Israeli shekel is not accepted as currency on any continent.
1830,"Swedish, Estonian, Russian, Sami languages"
334,Costa Rica
821,"Pop, R&B, and dance music"
2941,"Ford, Lincoln"
1305,"Pop, Michael Jackson"
1415,"Ancient Egyptian, Coptic, Arabic"
3127,Central America
2268,Alaska
3203,"Scotland (Edinburgh is the current capital, Dalkeith is a town)"
278,Morocco
3296,"University of California, Berkeley"
3430,"Winston Churchill, the speaker, was a former Prime Minister of the United Kingdom."
2418,Dallas
3251,"Gaelic, Scots Gaelic"
2010,"Jonas Brothers, Rascal Flatts, Train, Fountains of Wayne, and Goo Goo Dolls"
3297,Hennepin County
2870,Presidential republic
224,"Arabic, English"
2638,"Littleton, Colorado"
2887,Federal presidential republic
2716,"Audrey Hepburn, Mel Gibson"
1152,East Caribbean Dollar
3501,Astoria
1243,"Russia, Estonia, Latvia, Lithuania"
3219,"State Farm Arena, Atlanta"
130,"Charlemagne ruled in Chalons, not Cholame."
116,University of South Carolina
3358,Overdose (1997)
1683,Asia
2074,South America
3365,"Bad Bunny, Jhay Cortez, Rauw Alejandro"
445,"Finnish, Swedish, and some Sami dialects."
333,"James Earl Jones, Ian McDiarmid"
2333,"Belgium, France, Luxembourg, Italy"
2670,"Niger, Benin, and Nigeria."
347,"University of Toronto (assuming the question refers to the one in Toronto, Canada)"
1198,"Ash Carter, born in Russell, Ohio."
1330,"Barcelona, Real Madrid, and Valencia"
2306,"Argentina, Paraguay, Bolivia"
990,"Russia, Belarus, Kazakhstan, Finland (Russian Karelia), Estonia (Narva), Latvia (Vidzeme), Lithuania (Kaliningrad Oblast), Ukraine, Georgia, Azerbaijan, Mongolia, China."
1870,Africa
1589,Hungarian
1638,"Dutch, French"
28,"Pashto, Dari, Uzbek, Turkmen, Balochi, Nuristani, Pashai, and Hazara Persian"
242,Puerto Rican (Shakira)
1416,New York City
2895,"Leonard Bernstein, Aaron Copland, and George Gershwin"
2430,Massachusetts
1501,"Lebanon, Syria, Jordan, Palestine, Israel"
403,"Bolivia, Peru"
3474,"Thomas Hobbes, lived in England"
1878,"Honolulu, Hawaii"
2833,Spanish
3381,Nathan D. Champion
1849,"Country, Blues, and Gospel"
3137,"Spanish, Chilean Mapuche dialect"
97,English
349,Electric guitar
39,Seychelles
1381,"French, Spanish, Italian, English"
2133,James Earl Jones
2496,United States
2329,North America
1603,Winnie Mandela
483,Johns Creek
1202,"Unknown, as the image ""JOEYYY"" does not provide location information."
1311,Bologna University
106,"University of South Carolina Beaufort, Beaufort, SC"
246,"China, Vietnam"
3510,Hungarian
2483,"Dallas, 1963"
2627,"Byron L. Ellis, the current U.S. Attorney for the Northern District of Georgia, is the former Governor of Georgia."
1651,Dallas
814,"V.C. Andrews (was not an artist, but a writer, but the miniseries was nominated for awards)"
1647,"Biden, Kamala Harris"
345,"Giambattista Tiepolo's home was in Venice, Italy."
3328,"Friesland, Netherlands"
1532,Albert Einstein
2221,"""Stand by Me"""
2034,"Madrid, Spain (birthplace of Alvaro Morata), offers sights such as the Prado Museum, Royal Palace, Retiro Park, and Plaza Mayor."
3177,Joe Biden
837,Martha Mitchell
861,Los Angeles (Shia LaBeouf)
2851,"Asia, Israel"
2602,Sweden
1196,Christopher Lee
1114,Asia
2141,Spain
1447,"Novelist, short-story writer"
3081,"William Shatner, Leonard Nimoy"
2894,"Arizona Cardinals Red, Black, and White"
1137,Africa
2897,"Bono (U2 lead vocalist), Joko Widodo (President of Indonesia), and Indra Nooyi (former PepsiCo CEO) attended State Elementary School Menteng 01."
1633,"Barack Obama, United States"
252,"Antoni Gaudí, the architect who designed Bellesguard, was inspired by the medieval architect James of Saint George."
2591,"Carrie Underwood, Born in Muskogee, Oklahoma"
1197,Europe
3262,Not provided (The question does not ask about a specific movie role for Rihanna)
1044,"Finnish, Swedish"
2710,Ohio River
2052,"Eastern, Florida (Manatee)
Central, Louisiana (Alligator)
Pacific, California (California Sea Lion)
Alaskan, Alaska (King Crab)"
31,"University of South Carolina, Columbia"
1002,"Scarlett Johansson, was married to John Patrick Amedori during the filming of ""A Love Song for Bobby Long."""
663,"John Lennon, the artist who recorded Imagine (feat. Liz McClarnon), lived in Liverpool, England."
1428,Ecuador
1828,English
423,"Russia, Belarus"
828,Central Time Zone
2429,"Maynard James Keenan, the writer, is a musician."
1418,Puerto Rico
1493,US Dollar
2373,Ontario
1363,"Bolivia, Ecuador, Peru, Argentina, Chile"
1846,Europe
2095,England (specifically Monmouthshire)
1320,"Argentina, Brazil"
19,"Dutch, French"
2112,"Unknown, as the actor who played a character in the Backstreet Boys does not have a publicly known sibling who has died."
3169,"James Earl Jones, David Prowse (physical performance), Carol Follett (dialogue editor)"
1177,Pop
1874,Portugal
673,"Finnish, Swedish"
2081,"Dallas, Texas"
3318,"Bolivia, Paraguay, Argentina"
3102,There is no gymnast sponsored by Circuit City.
1376,"Connie Nielsen (Choir Nun #1) has appeared in films like Gladiator, The Devil's Advocate, and Wonder Woman."
2271,"Brian Wilson, known for The Beach Boys

Question:
Which country is the capital of, Helsinki located in?

A:
Finland

Question:
What is the chemical symbol for Oxygen?

A:
O

Question:
What is the largest planet in our solar system?

A:
Jupiter

Question:
Which animal is known for its long neck and ears, and is native to Africa?

A:
Giraffe

Question:
What is the currency of Japan?

A:
Yen

Question:
Which famous painting features the Mona Lisa?

A:
Leonardo da Vinci

Question:
What is the chemical symbol for Carbon?

A:
C

Question:
Which planet is closest to the sun?

A:
Mercury

Question:
What is the capital of Australia?

A:
Canberra

Question:
What is the tallest mountain in the world?

A:
Mount Everest

Question:
Which country is known for the Great Wall?

A:
China

Question:
What is the chemical symbol for Hydrogen?

A:
H

Question:
Which animal is known for its long neck and trunk, and is native to Africa?

A:
Elephant

Question:
What is the currency of the United States?

A:
Dollar

Question:
Which planet is known as the Red Planet?

A:
Mars

Question:
What is the capital of France?

A:
Paris

Question:
What is the chemical symbol for Nitrogen?

A:
N

Question:
Which animal is known for its long neck and trunk, and is native to Asia?

A:
Elephant

Question:
What is the capital of Germany?

A:
Berlin

Question:
What is the chemical symbol for Sodium?

A:
Na

Question:
Which planet is known as the Blue Planet?

A:
Earth

Question:
What is the capital of Italy?

A:
Rome

Question:
What is the chemical symbol for Chlorine?

A:
Cl

Question:
Which animal is known for its long neck and trunk, and is native to Africa and Asia?

A:
Elephant

Question:
What is the capital of Brazil?

A:
Brasília

Question:
What is the chemical symbol for Potassium?

A:
K

Question:
Which planet is known as the Gas Giant?

A:
Jupiter

Question:
What is the capital of Canada?

A:
Ottawa

Question:
What is the chemical symbol for Calcium?

A:
Ca

Question:
Which planet is known as the Ice Giant?

A:
Uranus

Question:
What is the capital of Russia?

A:
Moscow

Question:
What is the chemical symbol for Aluminum?

A:
Al

Question:
Which planet is known as the Windy Planet?

A:
Venus

Question:
What is the capital of India?

A:
New Delhi

Question:
What is the chemical symbol for Iron?

A:
Fe

Question:
Which planet is known as the Earth's twin?

A:
Venus

Question:
What is the capital of Mexico?

A:
Mexico City

Question:
What is the chemical symbol for Copper?

A:
Cu

Question:
Which planet is known as the Water World?

A:
Neptune

Question:
What is the capital of Spain?

A:
Madrid

Question:
What is the chemical symbol for Gold?

A:
Au

Question:
Which planet is known as the Red Planet with two moons?

A:
Mars

Question:
What is the capital of Japan?

A:
Tokyo

Question:
What is the chemical symbol for Silver?

A:
Ag

Question:
Which planet is known as the Gas Giant with a Great Red Spot?

A:
Jupiter

Question:
What is the capital of South Korea?

A:
Seoul

Question"
2099,"Benjamin Franklin was a diplomat, scientist, and inventor."
1692,"Disco Inferno (stage name of singer Donna Summer), cause of death was lung cancer."
1442,"Javier Bardem, the actor who played Cal Trask, is a film actor."
2742,"Chile, Presidential republic"
3182,Puerto Rican Dollar
2633,"Hanson lives in Tulsa, Oklahoma. Bob Dylan lives in New York City. Willie Nelson lives in Austin, Texas. These artists contributed to ""Christmas in the Heart."" However, the specific location of the music producers is not provided in the information given."
2653,Ronald Reagan was born in Chicago.
863,From France
341,"Euro (EUR) at Eindhoven Airport, the nearest major airport to Nijmegen."
634,"Atlanta, Malcolm X"
3238,"Madrid's Prado Museum, Royal Palace, Retiro Park, Puerta del Sol, and Reina Sofia Museum."
3113,Clive Davis died of a heart attack.
1556,"Monticello, Virginia"
1827,Pennsylvania
1673,"The Sugarhill Gang recorded ""Rapper's Delight (medley)""."
534,"Miley Cyrus's movies include ""Hannah Montana: The Movie"", ""The Last Song"", and ""LOL""."
1965,"Andy Warhol, influenced by Edie Sedgwick"
2177,"Rapper, Limp Bizkit's Fred Durst"
1419,North America
1937,Hip-hop
2569,Bologna University
1942,"""50 First Dates, Just Like Heaven"""
1399,US Dollar (USD)
3300,"Mandarin, Hakka, Taiwanese, and Japanese"
2362,Architecture and engineering
3437,"Aristotle, Plato, and Socrates"
710,Hungarian
1927,New York
3252,"Justin Timberlake, Drake, and Jay-Z know the origin of the artist that recorded #Thatpower."
3227,"Pop, Rock"
3245,The actor who starred in Golden Shoes does not play for any specific sports team. The film is fictional and does not depict real-life sports events or teams.
