,Model
3304,"Mali, Guinea, and Senegal"
1609,"New York, Los Angeles"
1664,Minnesota
2995,"Portugal, Spain, France, Germany, Italy, Belgium, Austria, Switzerland, Czech Republic, Poland, Sweden, Denmark, Norway, Finland, Hungary, Romania, Greece, Slovakia, Slovenia, Estonia, Latvia, Lithuania, Ireland, Cyprus, Malta, Bulgaria, Croatia, and the United Kingdom do not have an ISO less than 056. Therefore, the only EU country with an ISO less than 056 is Greece (GR)."
1279,Central Time Zone
1484,California (Harrison Ford)
2108,Dublin
1188,"Redboxx, Lil Jon, The Eastside Boyz"
2084,Canada
303,"Chile, a presidential republic"
1974,Elisabeth Moss plays Claire on the television show with the theme song 'Lonely Girl'.
2624,Leone (currency of Liberia) has an official Ceiba pentandra symbol.
3133,Alex Borstein
107,"Scottish Gaelic, Scots, or English"
803,Mexican
3353,"The actor who played Periwinkle has also been in films such as ""The Adventures of Captain Fantastic,"" ""The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,"" and ""The Chronicles of Narnia: Prince Caspian."""
2300,Judy Garland
2379,Farmer
3112,"Donna Summer, the actor who starred in The Best of Donna Summer: The DVD Collection, died due to lung cancer."
363,"United States, European Union, China, Japan, Saudi Arabia, Gulf, United Kingdom"
1283,Africa
1417,"Atlanta, Georgia"
172,Massachusetts
2857,English
1267,"Pashto, Dari, and Persian"
1168,Americas
949,"Alice in Wonderland, Through the Looking-Glass"
400,Kuwait
2782,"Mary Ingalls's home was Walnut Grove, Minnesota."
2780,Barcelona FC
2357,Christopher Lee
1394,Central Time Zone
3319,Coteau Guidry's spouse is not specified in the provided context.
1775,Guitar
1034,Los Angeles
437,"Finland, Estonia, Latvia, Belarus, Poland, Lithuania, Ukraine, Norway (if you consider the border by the Barents Sea)"
267,Real Sporting de Gijón
493,"Katy Perry, the artist who had the concert tour named Last Girl on Earth, played in the movies ""The Smurfs"" and ""The Smurfs 2""."
1792,"Germany, Belgium"
2920,New York
282,"English, Hindi, Creole"
2076,Spanish
575,Mandarin
2150,Patrick Stewart
2763,Rabat
1326,Robert Dudley
2580,Unknown (the author's cause of death is not specified in the context)
976,"Copenhagen, Denmark"
693,Central Time Zone
2927,Rabat
2492,United States
90,Central Time Zone
446,Chilean
1717,French
2909,Not provided in the context.
1697,"Death, war, and loss"
1014,"Jackson, Winsor, Chaplin, Hitchcock, Eisenstein, Welles, Bergman, Fellini, Kurosawa, Godard"
2071,"Ancient Greek city-states, not a specific type."
1616,"United States, Guatemala, Belize"
2935,Democratic Republic
2683,"Red, White, and Black"
853,"Rock, Pop, Classical, Hip-hop, Electronic"
305,Georgia (Atlanta Falcons)
2110,"Marlon Brando, the actor who played in Normal Love, was influenced by Stella Adler and Lee Strasberg."
1249,Liz McClarnon's residence is not provided in the context.
1433,Los Angeles Clippers
2659,New York Yankees
2753,Monarchy
2182,"Washington D.C. (for Susan Rice)
New York (for John Bolton)
London (for Robert Malley)"
3366,Poison
1873,Germany
3301,"Mexico, Guatemala, Belize"
1780,Abstract Expressionism
3188,Asia
3128,"Dutch, French"
210,A. Milton Glaser influenced the work of a notable person in Poster Design.
2832,Presidential republic
1254,"The person is not famous for that statement alone, as it's a quote attributed to various individuals, but the person who is most commonly associated with it is Benjamin Franklin."
857,"Unknown (context does not provide cause of death for the composer of ""If You Walkin' Alone?"")"
1407,London (Michael Gambon)
591,"Whitney Houston, the artist who went on the I'm Your Baby Tonight World Tour, died due to drowning, with heart disease and cocaine use as contributing factors."
3247,"Robert Frost, the author of ""Poem to a Horse"", is from the United States."
1185,"John Updike lived in Shillington, Pennsylvania."
1038,Denmark
2322,Swahili
3389,"Jared Kushner, the Associate Director of White House Office of Public Liaison, was a real estate developer before joining the administration."
1301,"English, as it is an official language in Guyana where Janet Jagan served as a governmental office holder."
3509,"English, Spanish"
3348,"Brittany Murphy, not Nicole Sims, was the actor who passed away due to pneumonia and anemia."
3333,Avicii (Tim Bergling) died due to self-inflicted injuries.
3149,Jack & Jack (American)
1134,United Kingdom
254,Cancer
556,England
2954,Jack London was a writer.
2639,"Martial arts, acting"
1833,Pennsylvania
280,"Pittsburgh, Pennsylvania"
1333,"Galileo Galilei, astronomer and physicist"
1986,"Javier Colon, United States"
918,Joe Biden
941,Jerry Spinelli attended Temple University.
1686,"The author of ""Historia viva"" is a member of Congress."
957,Heart attack
1962,Howard University
897,Harvard University
1063,Dallas
2118,Prinz Hornigold died of a heart attack.
1227,"Finland, Norway, Sweden, Russia"
584,Monticello
2354,James Earl Jones
3502,Ontario
324,Europe
860,Monica Lewinsky
702,Los Angeles
714,Mandarin Chinese
864,Florence
1527,"Tuareg Confederation, Nomadic Tribal Confederation"
3467,"Europe, Asia"
1393,"Spanish, Mapudungun, Aymara"
2928,Drug overdose
1217,"Mexico, United States"
2244,"Quechua-speaking countries employ various government systems, including presidential republics (Peru, Bolivia) and unitary states (Ecuador)."
1270,"Brazil, Peru, Argentina, Chile, and Paraguay"
881,"Bolivia, Argentina, Brazil, and Peru"
3242,"Dutch, French, German"
1544,Whitney Houston
1061,"Zealand, Denmark"
2674,"James Earl Jones, David Prowse (physical performance), Ian McDiarmid (Emperor Palpatine) in different films, but Darth Vader in the film with Louise Elsey was voiced by James Earl Jones."
3220,"Farmer, musician (Johnny Appleseed)"
2364,Christopher Lee
1495,Peggy Ashcroft
2464,Jonathan Frakes
2687,Denmark
1342,"Africa, not accepted as currency"
1830,"Estonian, Swedish, Russian"
334,Central America
821,Pop
2941,"Ford, Lincoln"
1305,Pop
1415,"Ancient Egyptian, Coptic"
3127,Central America
2268,United States
3203,Scotland
278,Morocco
3296,Sandra Cisneros attended the University of Iowa.
3430,Military Officer
2418,Washington D.C.
3251,"Gaelic, Scots Gaelic"
2010,"Jonas Brothers, Ryan Cabrera, and Evan and Jaron"
3297,Minnesota
2870,Chilean Presidential Republic
224,Arabic
2638,Downtown Littleton
2887,Federal presidential democratic republic
2716,Audrey Hepburn
1152,"V Bird is based in the Netherlands, so the currency used there is the Euro."
3501,Portland
1243,"Russia, Ukraine"
3219,"State Farm Arena, Atlanta"
130,Doncco lived in Cholame.
116,University of South Carolina
3358,"Whitney Houston, the artist nominated for awards for ""I'm Your Baby Tonight"", died due to drowning, with heart disease and cocaine use as contributing factors."
1683,Asia
2074,South America
3365,"Bad Bunny, J Balvin"
445,"Finnish, Swedish"
333,Ian McDiarmid (Senator Bana Breemu) did not voice Darth Vader. James Earl Jones voiced Darth Vader.
2333,"Germany, France, Belgium, Luxembourg"
2670,"Niger, Benin, and Nigeria."
347,Harvard University
1198,San Diego
1330,"Barcelona, Real Madrid"
2306,Argentina
990,Russia
1870,Africa
1589,Hungarian
1638,"Dutch, Flemish"
28,"Pashto, Dari"
242,"Selena Gomez, the Hispanic artist, is of Mexican descent."
1416,New York City
2895,"Leonard Bernstein, the person who once lived at 1342 Lexington Avenue, was influenced by Aaron Copland and Igor Stravinsky."
2430,Massachusetts
1501,"Jordan, Syria"
403,"Bolivia, Peru"
3474,"Thomas Hobbes, lived in England"
1878,"Chicago, Illinois"
2833,Spanish
3381,Nathan D. Champion
1849,"Country, Blues"
3137,Spanish
97,English
349,Electric guitar
39,Seychelles
1381,"Cartesian, English, French, German, Italian, Spanish"
2133,James Earl Jones
2496,Alaska
2329,North America
1603,Winnie Mandela
483,Johns Creek
1202,New York
1311,Bologna University
106,University of South Carolina Beaufort
246,"China, Hong Kong"
3510,Hungarian
2483,Vienna
2627,"Sam Olens, former Governor of Georgia"
1651,Dallas
814,"V.C. Andrews (was not an artist, but the author nominated for an award for Flowers in the Attic)"
1647,Joe Biden
345,"Giambattista Piranesi, the person who illustrated the book De mÃ©moire d'homme, was from Italy and Rome."
3328,Norway
1532,"Writing, Edgar Allan Poe"
2221,"""Twilight"""
2034,"Marbella's sights include the Old Town, Alameda Park, and the Church of the Virgin Mary."
3177,Joe Biden
837,Not provided in the context.
861,Los Angeles (Emilio Estevez)
2851,Asia
2602,Sweden
1196,Christopher Lee
1114,Asia
2141,Spain
1447,Author
3081,William Shatner
2894,"Arizona Cardinals Red, Black"
1137,Africa
2897,"Suharto, former President of Indonesia, and Bono, lead vocalist of U2, attended State Elementary School Menteng 01."
1633,United States
252,"Antoni Gaudí, the architect who designed Bellesguard, was inspired by the medieval architect James of Saint George."
2591,"Carrie Underwood, Nashville"
1197,Europe
3262,Not provided in the context.
1044,Finnish
2710,Potomac River
2052,Pacific Time Zone
31,"Columbia, South Carolina"
1002,Scarlett Johansson
663,London
1428,Ecuador
1828,English
423,Russia
828,Central Time Zone
2429,"Adam Yauch (MCA) was the writer of ""Stinkfinger"" lyrics, and he was a musician."
1418,Mexico
1493,US Dollar
2373,Ontario
1363,"Bolivia, Ecuador, Peru"
1846,Europe
2095,"Wales, England"
1320,"Argentina, Brazil"
19,"Dutch, French"
2112,"Unknown, the context does not provide information about the cause of death for the actor's sister."
3169,"James Earl Jones, not Carol Follett."
1177,Pop
1874,Portugal
673,"Finnish, Swedish"
2081,Dallas
3318,"Bolivia, Peru"
3102,"Simone Biles' hometown is Spring, Texas."
1376,"Conventional answers might include roles in ""Sister Act 2: Back in the Habit"" and potentially other film and television appearances. However, without specific names or context, it's difficult to provide exact job titles for the actor who played Choir Nun #1."
2271,Irish folk music
2099,"Benjamin Franklin, a politician appointed by the Continental Congress, was also a scientist and inventor."
1692,"Disco singer Donna Summer, award-nominated for ""Hot Stuff"", died due to congestive heart failure."
1442,"Montgomery Clift, the actor who played Cal Trask, was an actor."
2742,"Chile, Presidential republic"
3182,Puerto Rican
2633,"Willie Nelson, the music producer of ""Christmas in the Heart"", lives in Texas."
2653,"Utah, United States"
863,Ed Sheeran
341,Euro
634,"Malala Yousafzai was born in Mingora, Pakistan."
3238,"Madrid Cathedral, Prado Museum, Royal Palace of Madrid"
3113,Unknown (context does not provide information on the cause of death of the music producer who produced Whitney: The Greatest Hits)
1556,"Monticello, Virginia"
1827,Pennsylvania
1673,"The Sugarhill Gang recorded ""Rapper's Delight (medley)""."
534,"Miley Cyrus, Hannah Montana: The Movie, The Last Song"
1965,"Andy Warhol, influenced by Marcel Duchamp"
2177,"Limp Bizkit's lead vocalist, Fred Durst, wrote the lyrics for ""Nookie"". However, he is not a professional lyricist by trade."
1419,North America
1937,Pop
2569,Galileo Galilei
1942,"Frank Ocean, ""Nova"" and ""Moonlight"""
1399,US Dollar
3300,"Mandarin, Hakka, Taiwanese Hokkien"
2362,Architecture
3437,Aristotle
710,Hungarian
1927,New York
3252,"Jay-Z, Dr. Dre, and U2 know where the origin of the artist that recorded #Thatpower."
3227,Pop
3245,The actor who starred in Golden Shoes does not play for any specific sports team.
373,Spartan government
3330,"Spain, Portugal"
739,"China, Vietnam"
1982,England
3226,"Pashto, Dari"
297,Portland
1169,"China, Russia"
530,Massachusetts
1392,"Colombia, Peru, Ecuador, Brazil"
1991,Deputy Secretary of Defense
547,Bahamian
688,Sacramento County
105,"Mandarin, Hokkien, Hakka, Taiwanese Hua, and other languages"
2042,"Pop, R&B, and Dance music"
807,Greek
1287,Hungarian
2303,Republic
705,"Guatemala, Mexico, El Salvador"
3396,1996 (Atlanta Olympics)
587,Christopher Lee
713,Arabic
30,Red
2318,"""50 First Dates"""
1958,"New Zealand, Manawatu-Wanganui"
309,Central America
2474,Belgian
3161,United States
2272,Jerusalem
624,"Musician, Composer, Producer, Songwriter, Guitarist, Keyboardist, Drummer, Vocalist, Recording Engineer, Sound Engineer, Musician, Musician, Guitarist, Pianist, Vocalist, Recording Artist, Songwriter, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician, Musician"
946,United States
905,"Val Kilmer, Emilio Estevez"
3331,German
2777,"Scottish Gaelic, Old Norse"
533,"Greek, English"
1940,"Algiers, the capital city of Algeria, speaks Berber."
3432,New York
777,"Lhasa, Tibet"
176,Spanish
3279,"Paris, according to the context."
444,Israel
2048,Chinese
247,"English, Hindustani, Urdu, and various Amerindian languages"
3438,Federal presidential representative democratic republic
2312,Rachel Weisz
2218,By ingesting potassium cyanide.
96,English
1437,English
1836,British Pounds
2337,Africa
231,Cause of death not specified in the context.
1711,Impressionism (Claude Monet)
3290,Scotland
2277,Reunion Island
1051,Duke University
2981,"Lee ""Scratch"" Perry"
2788,"Dean Martin, Paul Anka, and Ricky Nelson"
1738,"Peru, Bolivia, Chile"
2880,"Unknown, the context does not provide information about the cause of death."
67,University of Bologna
2599,Ontario
2056,Star Trek: The Next Generation
2407,Ancient Egyptian
348,Morocco
260,Massachusetts
1106,Chilean government
1151,Voltaire
2090,Turkish
2798,Gustav Stresemann died in Berlin.
2560,"Nucingen House takes place in England, and England operates under a constitutional monarchy."
48,"Chester Bennington, the artist, committed suicide."
748,"Arthur Miller, the author who published ""Death of a Salesman"", was influenced by Eugene O'Neill."
1590,Mandarin Chinese
3354,"Great Britain, Germany"
910,English
2072,"Maupassant, the author who said ""Traveling makes a man wiser, but less happy,"" died in Paris."
2534,Mandarin Chinese
3427,The context does not provide information about when the Comptroller General went to college.
1691,Greenland
2100,"Synth-pop, electropop, and indie pop"
3393,"Bolivia, Brazil, Paraguay, Uruguay, Chile"
719,"China, Mongolia, Russia"
3493,City-states with oligarchies or democracies
1880,Monticello
1975,Central America
685,Mandarin
999,Mandarin
2286,US Dollar
3193,Indonesia
1479,"Thomas Jefferson died in Monticello, Virginia."
320,"John Lennon, the famous person who attended Los Banos High School, was assassinated."
457,Americas
2062,V Bird's country uses the Currency C.
2036,Paris
428,Arabic
461,James Earl Jones (Darth Vader)
3278,Americas
376,"Cars, Trucks, SUVs, Vans"
2044,Parkinson's disease
372,Florida
1336,Electric guitar
3479,Costa Rican Colón
3291,"Rocky Balboa's second opponent was Apollo Creed, not Boxing Opponent's Second. There is no character named Boxing Opponent's Second in the Rocky series."
3315,"Texas, Rick Perry"
2172,Marie-Louise Béland
2131,Althusser
2309,"Brad Dourif, Peter Haskell"
380,"China, Mongolia, Russia, North Korea, Vietnam, Myanmar, Laos, India, Pakistan, Afghanistan, Nepal, Bhutan, and Tajikistan."
43,"China, Japan, Mongolia, Russia, North Korea"
1550,Los Angeles
2778,Chicago
204,"Portugal, Spain"
72,"Catholic, Anglican, Orthodox"
1178,Algeria
1641,Kansas
3158,Desargues' geometry
2577,Walt Whitman
2410,Marcel Duchamp
3125,"Arabic is spoken in several Middle Eastern countries, but Barbara Starr was born in the United States."
2347,Iraq
200,Iraq (Arabic is the official language)
2882,Miami Dolphins
270,Judaism
3503,Louisiana State University
3423,Unitarianism
2549,Austria
809,"The Hunger Games: Catching Fire, Independence Day: Resurgence"
3459,"Russia, Kazakhstan"
2914,Dutch
1216,"English, no, Tortall Universe is fictional and does not have a real-world language."
2035,"""The Last Song"""
1275,"""The Sisterhood of the Traveling Pants 2"""
2594,Nigeria
874,"GIN, Guinea"
2186,Germanic
2063,"David Bowie influenced the work of Andy Warhol, and he wrote Music for Chameleons."
2936,Georgia Tech
1559,Catholicism
900,China
636,United States
2088,Abraham Lincoln
1252,Mandarin Chinese (CMN)
3374,No
436,United States
2764,Malibu
885,"Piano, Trumpet, Trombone, Violin, Clarinet, Bass, Drums, Guitar, Flute, Saxophone, Harp, Vibraphone, French horn"
2558,Bavaria
599,Christianity
3482,Greece
1331,Russia
2375,"""Pretty Little Liars: The Perfectionists"""
259,"Judaism (Kabbalah center in Safed, Israel is in Eastern Europe's historical border)"
2654,Walt Whitman
3047,William Shakespeare
704,Mongolia
1990,Tennessee
1233,Surrealism
1001,"England, China"
2949,Prussian monarchy (for Emanuel Lasker's birthplace) and parliamentary democracy (for Canada)
3114,"China, North Vietnam"
1312,"""Hannah Montana: The Movie"""
2338,Syria
202,"Las Vegas (for The Stand), Los Angeles (for Joey King)"
2907,"Denbigh, Wales"
759,William Shatner
774,"Guatemala, Honduras, El Salvador"
1580,"Littleton Downtown Station, Littleton Fire Station 2, Littleton Public Library"
3168,"Colorado, USA"
177,Wales
2336,New York City
1012,Arsenal FC
2325,"""The Angry Birds Movie 2"""
426,Temple University
870,Libya
2463,"Los Angeles, California"
152,Christianity
2293,Tennessee
2246,Baroque
974,Chile
926,Skylar Peak's location
59,Wyoming
2087,Salmon P. Chase
2635,Netherlands
2225,Syria
525,Prado Museum
735,English
907,Knud Lyne Rahbek
2488,Temple University
1410,China
1626,"Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet of Fire, Harry Potter and the Order of the Phoenix, Harry Potter and the Half-Blood Prince, Harry Potter and the Deathly Hallows - Part 1, Harry Potter and the Deathly Hallows - Part 2"
2468,Orthodox Christianity
855,Arabic
1430,"Duarte, California"
3274,Turkey
698,Chile
932,United Kingdom
125,Texas
1266,Daedalus language is not spoken in Japan.
743,New York City
1993,Sean Connery
188,Paris
33,Bhutan
1596,"Pretty Little Liars, A Cinderella Story: Once Upon a Song, Life Sentence"
583,Egypt
1203,"""The Last Song"""
2556,Ralph Waldo Emerson
3384,"New York and Lefcourt National Building are in the same location, New York City."
992,Yale University
2929,Bahrain
745,"English (in the context, no specific language for Navajo or Tortall is given)"
3340,Harry Potter and the Philosopher's Stone (1)
225,"No country on the Mediterranean has Paris as its capital. Paris is the capital of France, which is not a Mediterranean country."
1867,"Fra-Cherokee, Frisian"
1225,Denmark does not speak German. Lejre Municipality is in Denmark.
1174,Egypt
263,Egypt
337,Iowa State University
572,Afghanistan
408,Scotland
532,New England Patriots
2803,"Germany, France, Italy, Netherlands, and United Kingdom"
2785,Tunisia
1402,Nigeria
2021,Sigmund Freud
2605,"The Hunger Games, Independence Day: Resurgence, and Isn't It Romantic"
2758,Edgar Allan Poe
2985,"Santa Fe, New Mexico"
326,Roman Catholic Church
657,Navajo people do not speak Daedalus language. They speak Navajo.
234,William Shatner
2339,"Luxembourg, Austria, Ireland"
3184,Spain
717,Spanish
3146,"Edinburgh, Scotland"
191,Valerian and the City of a Thousand Planets
335,Canada
1403,Georgetown University
1361,"Calvinism, practiced in Canada"
196,Yale
1771,"Prado Museum, Reina Sofia Museum"
2020,Manchester United
2008,Valerian and the City of a Thousand Planets
92,Paris
71,Paraguay
2428,"Montreal Canadiens (M, D, C)"
140,China
2884,"Germany, Belgium, France, Spain, Portugal"
3131,Pop
3154,"The answer is not provided in the context. The movie ""Hannah Montana"" starring Miley Cyrus was released in 2006, not 2003."
2395,Scotland
520,Miami Dolphins
14,South Carolina
3071,"Monarchy, Federal parliamentary constitutional monarchy"
2664,"""The Last Song"""
3347,Pinar de Chamartin is located in Picasso's home in Madrid.
2324,"Japanese (in Japan), Polish (as a hobby of Mariusz Wroblewski)"
522,"Prado Museum, Retiro Park, Royal Palace"
2158,Athens
151,Egypt
161,Seattle Seawolves
1959,"Marilyn Monroe, Audrey Hepburn"
1296,Los Angeles
230,Guam
1423,"""Pretty Little Liars"" (edited by Peter McNulty, Lucy Hale starred in it)"
832,Egypt
495,Monaco
497,"""Scream 5"""
2626,2003
543,"Los Angeles (for ""Dr. Fubalous""), Santa Fe (for Sam Shepard)"
384,"""Truth or Dare"""
1824,Albania
3286,Battleship
1868,"Berlin, Los Angeles"
166,University of Oxford
3261,Friedrich Nietzsche
168,The Hunger Games
3027,George Washington University
35,Brazil
3264,France
595,Orthodox Christianity
1142,Arsenal
2539,"""Killers"""
1823,Switzerland
3441,Myanmar
781,Wales
1732,"De Smet, South Dakota"
1308,Libya
2997,"Scottish Gaelic, Cornish"
450,"Real Madrid, Portugal"
3233,Minnesota Vikings
2143,Jean-Michel Basquiat
3514,United States
621,Judaism
763,William Shatner
13,George Washington University
1360,Germany
1650,"United Arab Emirates, China, India, Turkey, Iran, Kazakhstan, Belarus, Azerbaijan, Georgia, Finland, Norway, Sweden, Germany, Poland, Ukraine, and Romania."
2812,"""Pretty Little Liars"" (TV series, not a movie) is 103 minutes long, but Lucy Hale played Aria Montgomery in it. However, for a movie, she starred in ""Truth or Dare"" (2018), which is approximately 90 minutes long."
467,Czech Republic
776,New Mexico
1884,Germany
2634,"The ""Last Song"" features Nicholas Sparks' story and Liam Hemsworth."
886,"""The Last Song, Hannah Montana"""
1006,Scotland
2093,Charles Baudelaire
2842,"Los Angeles, California"
1908,Manchester United
991,"""Pretty Little Liars"""
1756,Jean Rousseau
2541,Eugene O'Neill
2678,"Jamie Lloyd (nominee) was influenced by the musical ""Everybody's Talking About Jamie"""
2491,Jonathan Swift did not exist until the year 1805.
903,Great Britain
